,author,count
842,lebrero m.c.g.,1
843,grose d.,1
844,konno n.,1
845,sato i.,1
846,segawa e.,1
847,majtey a.p.,1
848,bussandri d.g.,1
849,osán t.m.,1
850,lamberti p.w.,1
851,valdés-hernández a.,1
852,morzan u.n.,1
853,caldararu o.,1
854,muñoz-gutierrez c.,1
855,rinke p.,1
856,delaveau m.,1
857,applencourt t.,1
858,audouze c.,1
859,beuken j.-m.,1
860,bieder j.,1
861,bokhanchuk a.,1
862,bruneval f.,1
863,caliste d.,1
864,côté m.,1
865,dahm f.,1
866,da pieve f.,1
867,di gennaro m.,1
868,adams d.,1
869,dorado b.,1
870,espejo c.,1
871,geneste g.,1
872,genovese l.,1
873,gerossier a.,1
874,giantomassi m.,1
875,gillet y.,1
876,hamann d.r.,1
877,he l.,1
878,jomard g.,1
879,amadon b.,1
880,abreu araujo f.,1
881,adasme-carreño f.,1
882,andricopulo a.d.,1
883,ryde u.,1
884,razera r.a.z.,1
885,boudinov h.,1
886,zanesco i.,1
887,moehlecke a.,1
888,littlejohn r.,1
889,san gregorio l.r.,1
890,vogt-geisse s.,1
891,de souza a.s.,1
892,de oliveira m.t.,1
893,silveira h.b.,1
894,jollet f.,1
895,da silva p.s.p.,1
896,rouchon p.,1
897,da silveira l.r.,1
898,tanscheit r.,1
899,tun-rosado f.j.,1
900,mena-rejón g.j.,1
901,carballo r.m.,1
902,mirón-lópez g.,1
903,quijano-quiñones r.f.,1
904,gonze x.,1
905,chen x.,1
906,makkonen e.,1
907,le roux s.,1
908,gaspar j.a.,1
909,cortés-arriagada d.,1
910,chigo anota e.,1
911,cervantes-vázquez d.,1
912,chenu m.,1
913,de feo l.,1
914,smith b.,1
915,jacobs m.,1
916,amargós-reyes o.,1
917,romero-borja d.,1
918,barreiro-arguëlles d.,1
919,maldonado j.-l.,1
920,rodríguez juárez a.,1
921,sanchez j.a.,1
922,nacif j.a.,1
923,santos ferreira r.,1
924,paranaiba vilela neto o.,1
925,chaves j.,1
